gender,SeniorCitizen,Dependents,tenure,TenureYears,TenureGroup,PhoneService,MultipleLines,ServiceCount,InternetService,Contract,ContractMonths,Contract_Month-to-month,Contract_One year,Contract_Two year,MonthlyCharges,MonthlyChargePerService,Churn
0,0,0,1,0.08,0-12mo,0,0,0,0,Month-to-month,0,1,0,0,25,25.0,1
1,0,0,41,3.42,25-48mo,1,0,1,0,One year,12,0,1,0,25,12.5,0
0,0,1,52,4.33,49-72mo,1,0,1,0,Month-to-month,0,1,0,0,19,9.5,0
0,0,0,1,0.08,0-12mo,1,0,1,0,One year,12,0,1,0,76,38.0,1
1,0,0,67,5.58,49-72mo,1,0,1,1,Month-to-month,0,1,0,0,51,25.5,0
0,1,0,68,5.67,49-72mo,1,1,2,1,Month-to-month,0,1,0,0,90,30.0,1
0,0,1,23,1.92,13-24mo,1,1,2,1,Month-to-month,0,1,0,0,77,25.666666666666668,0
1,0,1,72,6.0,49-72mo,1,0,1,0,Month-to-month,0,1,0,0,72,36.0,0
1,0,0,70,5.83,49-72mo,1,1,2,1,Month-to-month,0,1,0,0,104,34.666666666666664,1
1,0,0,1,0.08,0-12mo,1,0,1,0,One year,12,0,1,0,19,9.5,1
1,0,0,1,0.08,0-12mo,1,0,1,0,Month-to-month,0,1,0,0,20,10.0,0
1,0,1,34,2.83,25-48mo,1,0,1,0,Two year,24,0,0,1,84,42.0,0
1,1,1,28,2.33,25-48mo,1,1,2,1,One year,12,0,1,0,51,17.0,0
0,1,0,18,1.5,13-24mo,1,1,2,1,Month-to-month,0,1,0,0,85,28.333333333333332,1
0,0,0,15,1.25,13-24mo,1,0,1,1,Month-to-month,0,1,0,0,20,10.0,0
0,1,0,11,0.92,0-12mo,1,1,2,1,Two year,24,0,0,1,95,31.666666666666668,1
1,0,0,11,0.92,0-12mo,1,0,1,0,One year,12,0,1,0,54,27.0,1
1,0,1,1,0.08,0-12mo,1,1,2,1,Two year,24,0,0,1,70,23.333333333333332,1
