Feature,Importance
tenure,0.17534283469045125
MonthlyCharges,0.055849568112897895
MonthlyChargePerService,0.013840611168310146
SeniorCitizen,0.012275902231058455
ServiceCount,0.0024543322609955178
InternetService,0.0023436986057743915
PhoneService,0.001706366304764062
Contract_Two year,0.0005403740244369626
Contract_Month-to-month,-0.000135622246796796
ContractMonths,-0.000801502937564158
Dependents,-0.0013051908500245845
MultipleLines,-0.0017046451455809519
Contract_One year,-0.0017123782200839433
gender,-0.00397278032257693
